top_k,alpha,top1,top5,top10,mrr,hard_top1,hard_mrr
200,0.5,0.7027027027027027,0.8202702702702702,0.8418918918918918,0.7568086152481427,0.6666666666666666,0.7247482517361239
100,0.5,0.6959459459459459,0.8081081081081081,0.8256756756756757,0.7472118081593045,0.6588419405320813,0.7136345784251061
50,0.5,0.6905405405405406,0.7959459459459459,0.8135135135135135,0.7394943113149635,0.6525821596244131,0.7046830313610948
50,0.65,0.6810810810810811,0.7972972972972973,0.8148648648648649,0.7336100165607837,0.6369327073552425,0.6948952721778509
50,0.35,0.6783783783783783,0.7918918918918919,0.8108108108108109,0.7297529990610446,0.6447574334898278,0.6978006263811486
